disease,symptom
Acquired immune deficiency syndrome (AIDS) (disorder),Hepatomegaly associated with AIDS
Acquired immune deficiency syndrome (AIDS) (disorder),Malaise associated with AIDS
Acquired immune deficiency syndrome (AIDS) (disorder),Fatigue associated with AIDS
Acute disease,Sudden visual loss
Acute disease,Acute vomiting
Acute disease,Benign paroxysmal positional vertigo nystagmus
Acute pharyngitis,Pain in throat
Acute pharyngitis,Sore throat symptom
Acute pharyngitis,Has a sore throat
Stokes-Adams attack,Syncope symptom
Stokes-Adams-Morgagni syndrome,Syncope symptom
Stokes-Adams syndrome,Syncope symptom
Stokes-Adams attack,Syncope and collapse
Stokes-Adams-Morgagni syndrome,Syncope and collapse
Stokes-Adams syndrome,Syncope and collapse
Amblyopia (disorder),(Visual disturbances NOS) or (amblyopia) or (blurred vision)
Amenorrhea (finding),Menstruation absent
Prinzmetal angina,Angina
Prinzmetal angina,Ischemic chest pain
Prinzmetal angina,Pain (finding)
Anorexic,Anorexia symptom (finding)
Anuria (finding),Oliguria and anuria
Eye strain,Visual discomfort
Accommodative asthenopia,Visual discomfort
Eye strain,Eyes tire easily
Accommodative asthenopia,Eyes tire easily
Eye strain,Visual symptoms
Accommodative asthenopia,Visual symptoms
Azoospermia (disorder),Complete spermatogenic arrest
Azoospermia (finding),Complete spermatogenic arrest
Azoospermia (disorder),Incomplete spermatogenic arrest
Azoospermia (finding),Incomplete spermatogenic arrest
Nonproliferative diabetic retinopathy (disorder),O/E - right eye preproliferative diabetic retinopathy
Background retinopathy,O/E - retinopathy
Unspecified background retinopathy,O/E - retinopathy
Background retinopathy,O/E - referable retinopathy
Unspecified background retinopathy,O/E - referable retinopathy
Background retinopathy,O/E - non-referable retinopathy
Unspecified background retinopathy,O/E - non-referable retinopathy
Disorder of basal ganglia,Hemiballism (disorder)
Binocular vision disorder,Visual alteration
Unicameral bone cyst,Mass of musculoskeletal structure
Solitary bone cyst,Mass of musculoskeletal structure
Bone cyst,Mass of musculoskeletal structure
Disorder of brain,Menopausal headache
Disorder of breast,"Breast subinvolution, postpartum"
Disorder of breast,Postpartum subinvolution of breast
Disorder of breast,Peau d'orange surface of breast
Disorder of bronchus,Smokers' cough
Burning mouth syndrome,Skin sensation disturbance
Burning mouth syndrome,Glossodynia (disorder)
Burning mouth syndrome,Glossopyrosis (disorder)
Disorder of cardiovascular system,Syncope symptom
Disorder of cardiovascular system,Syncope and collapse
Disorder of cardiovascular system,Near syncope
"Complex regional pain syndrome, type II",Pain (finding)
Disorder of the central nervous system,Hemiplegia (disorder)
Disorder of the central nervous system,Thunderclap headache
Disorder of the central nervous system,Bruns nystagmus
Cerebellar disorder,Cerebellar ataxia
Cerebellar deficiency syndrome,Cerebellar ataxia
Progressive cerebellar tremor,Cerebellar ataxia
Early onset cerebellar ataxia with myoclonus,Cerebellar ataxia
Dyssynergia cerebellaris myoclonica,Cerebellar ataxia
Progressive cerebellar tremor,Myoclonic disorder
Early onset cerebellar ataxia with myoclonus,Myoclonic disorder
Dyssynergia cerebellaris myoclonica,Myoclonic disorder
Cervicobrachial neuralgia,Pain (finding)
Cervico-occipital neuralgia,Pain of head and neck region
Chagas' disease without mention of organ involvement (disorder),Trypanosomal chancre
Chorea (finding),Involuntary movement
Chorea (finding),Involuntary movement symptom
Chorea (finding),Oral choreiform movement
Chronic disease (disorder),Chronic vomiting
Chronic rhinitis,Purulent nasal discharge
Chronic rhinitis,Purulent rhinitis
Chronic rhinitis,(Chronic rhinitis) or (catarrh unspecified)
Ciliary neuralgia,Headache (finding)
Chronic cluster headache,Headache (finding)
Cluster headache,Headache (finding)
Ciliary neuralgia,Neuropathic pain
Chronic cluster headache,Neuropathic pain
Cluster headache,Neuropathic pain
Ciliary neuralgia,Pain (finding)
Chronic cluster headache,Pain (finding)
Cluster headache,Pain (finding)
Disorder of colon,Constipation (disorder)
Coma (disorder),[D]Coma &/or [D]stupor
Coma (disorder),[D]Coma and stupor NOS
Coma (disorder),[D]Coma and stupor
Common cold,Sinus catarrh
Genital warts,Perineal lump (finding)
Condyloma acuminatum,Perineal lump (finding)
Genital warts,Penile warts
Condyloma acuminatum,Penile warts
Genital warts,Mass of urogenital structure
Condyloma acuminatum,Mass of urogenital structure
Febrile convulsion,Seizure
Disorder of cornea,Corneal pigmentations and deposits
Coronary artery spasm,[X]Other forms of angina pectoris
Bathing cramp,Cramp (finding)
Bathing cramp,(Bathing cramps - immersion) or (immersion)
Cranial neuralgia,Neuropathic pain
Cranial neuralgia,Pain (finding)
5p partial monosomy syndrome,Cri du chat
Cutaneous endometriosis,Pain (finding)
Difficulty swallowing,Swallowing painful
Difficulty swallowing,Swallowing problem
Difficulty swallowing,Swallowing symptoms
Difficulty swallowing,(Swallowing symptoms) or (dysphagia)
Accretion on teeth,Extrinsic staining of teeth associated with inadequate oral hygiene
Accretion on teeth,Extrinsic staining of teeth associated with oral habits
Sensitive dentin,Tooth sensitivity to cold
Sensitive dentin,Tooth sensitivity to heat
Dermatitis (disorder),Skin irritation
Generalized erythroderma,Erythema of skin
Erythrodermic eczema,Erythema of skin
Pityriasis rubra (Hebra),Erythema of skin
Generalized exfoliative dermatitis,Erythema of skin
Generalized erythroderma,Erythematous condition
Erythrodermic eczema,Erythematous condition
Pityriasis rubra (Hebra),Erythematous condition
Generalized exfoliative dermatitis,Erythematous condition
Developmental coordination disorder,Slowness and poor responsiveness
Diabetes mellitus,O/E - right eye background diabetic retinopathy
Diabetes mellitus,O/E - left eye background diabetic retinopathy
Diabetes mellitus,O/E - right eye preproliferative diabetic retinopathy
Diabetes mellitus,O/E - left eye preproliferative diabetic retinopathy
Diabetes mellitus,O/E - right eye proliferative diabetic retinopathy
Diabetes mellitus,O/E - left eye proliferative diabetic retinopathy
Diabetes mellitus,O/E - right eye diabetic maculopathy
Diabetes mellitus,O/E - left eye diabetic maculopathy
Diabetic retinopathy,O/E - right eye background diabetic retinopathy
Diabetic retinopathy,O/E - left eye background diabetic retinopathy
Diplopia (disorder),Refractive diplopia
Diplopia (disorder),Monocular diplopia
Diplopia (disorder),Visual alteration
Disease (disorder),Clinical finding
Disease (disorder),Finding of vomiting
Disease (disorder),Vomiting symptom
Complete trisomy 21 syndrome,Cry of Down's syndrome
Tear film insufficiency,Dry eyes
Tear film insufficiency,Dry eye
Infectious diarrheal disease,Diarrhea symptom
Infective diarrhea,Diarrhea symptom
Infectious diarrheal disease,Loose stool
Infective diarrhea,Loose stool
Dyskinesia,Motor dysfunction
Dyskinesia,Adiadochokinesia
Dyskinesia,Dysdiadochokinesis
Dyskinesia,Neonatal dyskinesia
Dyskinesia,Coordination problem
Pain in female genitalia on intercourse,Pain in female genitalia
Pain in female genitalia on intercourse,Pain on penetration
Paroxysmal dyspnea,Difficulty breathing
Paroxysmal dyspnea,Paroxysmal nocturnal dyspnea (finding)
Primary torsion dystonia,Diurnal dystonia
Torsion dystonia,Diurnal dystonia
Disorder of ear,Loudness recruitment
Disorder of ear,Paracusis (disorder)
Disorder of ear,Bleeding from ear
Disorder of ear,Deafness symptom
Eclampsia (disorder),Seizure
Nutrition deficiency due to insufficient food,Starvation (disorder)
Subacute bacterial endocarditis,Osler's node
Disorder of endocrine system,Mass of endocrine structure
Disorder of endocrine system,Pain of endocrine structure
Endometriosis (clinical),Pain (finding)
Endometriosis of fallopian tube,Pain (finding)
"Lyell's toxic epidermal necrolysis, subepidermal type",Erythema of skin
"Lyell's toxic epidermal necrolysis, subepidermal type",Erythematous condition
Epileptic seizure,Seizure
Seizure disorder,Seizure
Epileptic seizure,Epileptic aura
Seizure disorder,Epileptic aura
Epileptic seizure,Partial seizure
Seizure disorder,Partial seizure
Localization-related epilepsy,Seizure
Localization-related epilepsy,Partial seizure
Generalized epilepsy,Seizure
Tonic-clonic epilepsy,Seizure
Epileptic seizures - myoclonic,Myoclonic disorder
Myoclonic seizure,Myoclonic disorder
Epileptic seizures - myoclonic,Seizure
Myoclonic seizure,Seizure
Childhood absence epilepsy,Seizure
Absence seizure,Seizure
Juvenile absence epilepsy,Seizure
Temporal lobe epilepsy,Seizure
Candidal intertrigo,Erythema of skin
Candidal intertrigo,Erythematous condition
Erythema chronica migrans,Erythema of skin
Erythema chronica migrans,Erythematous condition
Erythema multiforme,Erythema of skin
Erythema multiforme,Erythematous condition
Erythematosquamous dermatosis,Erythema of skin
Erythematosquamous dermatosis,Erythematous condition
Erythromelalgia (disorder),Pain (finding)
Erythromelalgia (disorder),Erythema of skin
Erythromelalgia (disorder),Erythematous condition
Primary erythromelalgia,Pain (finding)
Primary erythromelalgia,Erythema of skin
Primary erythromelalgia,Erythematous condition
Stricture of esophagus,Bolus impaction
Cutaneous eruption,Erythema of skin
Eruption,Erythema of skin
Cutaneous eruption,Erythematous condition
Eruption,Erythematous condition
Cutaneous eruption,Macular eruption
Eruption,Macular eruption
Cutaneous eruption,Weal
Eruption,Weal
Cutaneous eruption,Meningococcal rash
Eruption,Meningococcal rash
Cutaneous eruption,Spots on skin (disorder)
Eruption,Spots on skin (disorder)
Exophthalmos (disorder),Exophthalmos due to orbital edema or congestion
Extrapyramidal disease,Athetoid movement
Extrapyramidal disease,Hemiballism (disorder)
Disorder of eye proper (disorder),Internal ophthalmoplegia
Disorder of eye proper (disorder),Discharge of eye
Disorder of eye proper (disorder),Contact lens related disorder
Disorder of eyelid,Blepharospasm (disorder)
Failure to thrive in infant,Failure to gain weight (finding)
Failure to thrive,Failure to gain weight (finding)
Failure to thrive in infant,Physiological development failure
Failure to thrive,Physiological development failure
Failure to thrive in infant,"[D]Weight, failure to gain, infant"
Failure to thrive,"[D]Weight, failure to gain, infant"
Failure to thrive in infant,"Weight,fail to gain,infant [D]"
Failure to thrive,"Weight,fail to gain,infant [D]"
Farmers' lung,Diffuse inflammation
Incontinence of feces,Spillage of feces
Incontinence of feces,Spurious diarrhea - overflow
Incontinence of feces,Double incontinence (finding)
Incontinence of feces,Bowels: occasional accident
Incontinence of feces,Neuromyopathic fecal incontinence
Incontinence of feces,Congenital fecal incontinence
Incontinence of feces,Fecal fluid leakage
Nonreassuring fetal status,Fetal distress - prelabor
Nonreassuring fetal status,Fetal distress - in labor
Fibromyositis,Pain (finding)
Muscular rheumatism,Pain (finding)
Focal motor seizure,Seizure
Simple partial seizure with motor dysfunction,Seizure
Focal motor seizure,Partial seizure
Simple partial seizure with motor dysfunction,Partial seizure
Eruption cyst,Mass of digestive structure
Freemartin,Virilization (finding)
Functional disorder of intestine,Constipation (disorder)
Functional disorder of intestine,Hyperactive rectosigmoid junction
Functional disorder of intestine,Abnormal large bowel motility
Functional disorder of intestine,Bowel spasm
Generalized non-convulsive epilepsy,Seizure
Disorder of female genital system,Leukoplakia of female genital organs
Disorder of female genital organs,Leukoplakia of female genital organs
Disorder of female genital system,Mass of female genital structure
Disorder of female genital organs,Mass of female genital structure
Disorder of male genital organ,Pain in testicle (finding)
Disorder of male genital organ,Edema of male genital organs
Disorder of male genital organ,Pain in scrotum (finding)
Disorder of male genital organ,Burning scrotum
Disorder of male genital organ,Pruritus of male genital organs
Disorder of male genital organ,Leukoplakia of male genital organs
Disorder of male genital organ,Persistent testicular pain
Disorder of male genital organ,Tenderness of male genitalia
Laryngeal granuloma,Mass of respiratory structure
Central hearing loss,Bilateral central hearing loss
Day blindness,Subjective visual disturbance
Hematotympanum,Bleeding from ear
Mild hyperemesis gravidarum,Hyperemesis gravidarum
Mild hyperemesis gravidarum,Finding of vomiting
Mild hyperemesis gravidarum,Vomiting symptom
Hyperesthesia dolorosa,Skin sensation disturbance
Hyperesthesia dolorosa,Hyperesthesia (finding)
Hypertensive disorder,Paroxysmal hypertension
Excessive hair growth,Excessive growth of facial hair
Excessive hair growth,Excessive growth of body hair
Excessive hair growth,Excessive growth of leg hair
Congenital ichthyosis of skin,Harlequin change
Neonatal disorder (disorder),Edema of newborn
Disorders of initiating and maintaining sleep,Insomnia (disorder)
Intertrigo (disorder),Erythema of skin
Intertrigo (disorder),Erythematous condition
Disorder of intestine,Gastrointestinal symptom
Disorder of intestine,Mass of digestive structure
Neonatal jaundice,Newborn physiological jaundice (disorder)
Obstructive hyperbilirubinemia,[D]Jaundice (not of newborn)
Cholestatic jaundice syndrome,[D]Jaundice (not of newborn)
Obstructive hyperbilirubinemia,[D]Jaundice (not of newborn) NOS
Cholestatic jaundice syndrome,[D]Jaundice (not of newborn) NOS
Disorder of jaw,Abnormal jaw movement
Arthropathy (disorder),Rubella arthralgia
Ophthalmoplegia plus syndrome,Ophthalmoplegia (disorder)
Oculocraniosomatic syndrome,Ophthalmoplegia (disorder)
Leukoplakia of penis,Leukoplakia of male genital organs
Labyrinthine disorder (disorder),Syncopal vertigo
Disorder of lacrimal system,Dacryops
Speech and language disorder,Loss of voice
Laryngeal spasm,Spasm (finding)
Laryngismus stridulus,Spasm (finding)
Laryngeal spasm,Stridor (finding)
Laryngismus stridulus,Stridor (finding)
Leukorrhea (finding),Leukorrhoea unspecified
Leukorrhea (finding),Leukorrhea unspecified
Leukorrhea (finding),(Leukorrhea unspecified) or (vaginal discharge NOS)
Leukorrhea (finding),(Leukorrhoea unspecified) or (vaginal discharge NOS)
Disorder of lip,Cheilodynia (disorder)
Disorder of lip,Chapping of lips
Disorder of lip,Cracked lips
Disease of liver,Large liver
Disease of liver,Hepatocellular jaundice
"Unspecified lymphadenitis, excluding mesenteric lymphaden",Tender lymph node
"Unspecified lymphadenitis, excluding mesenteric lymphaden",Tenderness of lymphoreticular structure
