disease_cui,rid_caller_caller,rid_caller_caller,snomed_code_caller,Terms_caller,rid_caller,Number of diseases,rid_caller,snomed_code,Terms,rid,Number of symptoms
C0001175,1167,749.0,421230000.0,Hepatomegaly associated with AIDS,300.0,2.0,41,62479008,Acquired immune deficiency syndrome (AIDS) (disorder),132,3
C0001175,898,385.0,420801006.0,Malaise associated with AIDS,202.0,2.0,41,62479008,Acquired immune deficiency syndrome (AIDS) (disorder),132,3
C0001175,1,832.0,420900006.0,Fatigue associated with AIDS,198.0,2.0,41,62479008,Acquired immune deficiency syndrome (AIDS) (disorder),132,3
C0001314,1168,249.0,15203004.0,Sudden visual loss,676.0,1.0,1407,2704003,Acute disease,96,3
C0001314,2,195.0,23971007.0,Acute vomiting,769.0,1.0,1407,2704003,Acute disease,96,3
C0001314,308,486.0,307674009.0,Benign paroxysmal positional vertigo nystagmus,116.0,3.0,1407,2704003,Acute disease,96,3
C0001344,3,521.0,162397003.0,Pain in throat,82.0,4.0,267,363746003,Acute pharyngitis,229,2
C0001344,3,642.0,267102003.0,Sore throat symptom,82.0,4.0,267,363746003,Acute pharyngitis,229,2
C0001344,4,258.0,162388002.0,Has a sore throat,457.0,1.0,267,363746003,Acute pharyngitis,229,2
C0001396,1169,17.0,272030005.0,Syncope symptom,21.0,12.0,781,271547004,Stokes-Adams attack,1222,1
C0001396,1169,17.0,272030005.0,Syncope symptom,21.0,12.0,782,13620007,Stokes-Adams-Morgagni syndrome,1222,1
C0001396,1169,17.0,272030005.0,Syncope symptom,21.0,12.0,1670,46935006,Stokes-Adams syndrome,1222,1
C0001396,1169,222.0,309585006.0,Syncope and collapse,21.0,12.0,781,271547004,Stokes-Adams attack,1222,1
C0001396,1169,222.0,309585006.0,Syncope and collapse,21.0,12.0,782,13620007,Stokes-Adams-Morgagni syndrome,1222,1
C0001396,1169,222.0,309585006.0,Syncope and collapse,21.0,12.0,1670,46935006,Stokes-Adams syndrome,1222,1
C0002418,2051,133.0,155145007.0,(Visual disturbances NOS) or (amblyopia) or (blurred vision),242.0,2.0,1459,387742006,Amblyopia (disorder),964,1
C0002453,5,226.0,289885003.0,Menstruation absent,506.0,1.0,1690,14302001,Amenorrhea (finding),375,1
C0002963,309,429.0,194828000.0,Angina,9.0,23.0,1594,87343002,Prinzmetal angina,320,2
C0002963,309,647.0,225566008.0,Ischemic chest pain,9.0,23.0,1594,87343002,Prinzmetal angina,320,2
C0002963,592,411.0,22253000.0,Pain (finding),2.0,136.0,1594,87343002,Prinzmetal angina,320,2
C0003123,6,451.0,249468005.0,Anorexia symptom (finding),226.0,2.0,154,79890006,Anorexic,661,1
C0003460,1758,148.0,271845002.0,Oliguria and anuria,626.0,1.0,411,2472002,Anuria (finding),794,1
C0004095,1456,782.0,7751009.0,Visual discomfort,140.0,3.0,639,70323002,Eye strain,94,3
C0004095,1456,782.0,7751009.0,Visual discomfort,140.0,3.0,1063,46640001,Accommodative asthenopia,94,3
C0004095,1759,619.0,55758001.0,Eyes tire easily,390.0,1.0,639,70323002,Eye strain,94,3
C0004095,1759,619.0,55758001.0,Eyes tire easily,390.0,1.0,1063,46640001,Accommodative asthenopia,94,3
C0004095,1455,206.0,162274004.0,Visual symptoms,384.0,1.0,639,70323002,Eye strain,94,3
C0004095,1455,206.0,162274004.0,Visual symptoms,384.0,1.0,1063,46640001,Accommodative asthenopia,94,3
C0004509,1457,139.0,41867009.0,Complete spermatogenic arrest,326.0,2.0,1040,425558002,Azoospermia (disorder),351,2
C0004509,1457,139.0,41867009.0,Complete spermatogenic arrest,326.0,2.0,1481,48188009,Azoospermia (finding),351,2
C0004509,593,379.0,52749004.0,Incomplete spermatogenic arrest,336.0,2.0,1040,425558002,Azoospermia (disorder),351,2
C0004509,593,379.0,52749004.0,Incomplete spermatogenic arrest,336.0,2.0,1481,48188009,Azoospermia (finding),351,2
C0004606,1458,58.0,408411003.0,O/E - right eye preproliferative diabetic retinopathy,184.0,3.0,1524,390834004,Nonproliferative diabetic retinopathy (disorder),768,1
C0004608,1760,299.0,408311002.0,O/E - retinopathy,269.0,2.0,383,42873008,Background retinopathy,95,3
C0004608,1760,299.0,408311002.0,O/E - retinopathy,269.0,2.0,1712,193355009,Unspecified background retinopathy,95,3
C0004608,2052,41.0,408312009.0,O/E - referable retinopathy,638.0,1.0,383,42873008,Background retinopathy,95,3
C0004608,2052,41.0,408312009.0,O/E - referable retinopathy,638.0,1.0,1712,193355009,Unspecified background retinopathy,95,3
C0004608,1459,203.0,408313004.0,O/E - non-referable retinopathy,486.0,1.0,383,42873008,Background retinopathy,95,3
C0004608,1459,203.0,408313004.0,O/E - non-referable retinopathy,486.0,1.0,1712,193355009,Unspecified background retinopathy,95,3
C0004782,7,677.0,66637005.0,Hemiballism (disorder),199.0,2.0,249,70835005,Disorder of basal ganglia,662,1
C0005461,8,622.0,131182003.0,Visual alteration,30.0,9.0,1730,83275001,Binocular vision disorder,1457,1
C0005937,1761,303.0,300861003.0,Mass of musculoskeletal structure,29.0,10.0,346,112643007,Unicameral bone cyst,1258,1
C0005937,1761,303.0,300861003.0,Mass of musculoskeletal structure,29.0,10.0,1212,203467005,Solitary bone cyst,1258,1
C0005937,1761,303.0,300861003.0,Mass of musculoskeletal structure,29.0,10.0,1671,203465002,Bone cyst,1258,1
C0006111,594,627.0,198438009.0,Menopausal headache,179.0,3.0,140,81308009,Disorder of brain,1327,1
C0006145,899,467.0,198125007.0,"Breast subinvolution, postpartum",254.0,2.0,1140,79604008,Disorder of breast,160,2
C0006145,899,691.0,31834007.0,Postpartum subinvolution of breast,254.0,2.0,1140,79604008,Disorder of breast,160,2
C0006145,310,119.0,87386002.0,Peau d'orange surface of breast,204.0,2.0,1140,79604008,Disorder of breast,160,2
C0006261,311,354.0,46802002.0,Smokers' cough,117.0,3.0,1679,41427001,Disorder of bronchus,1305,1
C0006430,2054,700.0,80910005.0,Skin sensation disturbance,53.0,6.0,95,399165002,Burning mouth syndrome,72,3
C0006430,1170,584.0,30731004.0,Glossodynia (disorder),104.0,4.0,95,399165002,Burning mouth syndrome,72,3
C0006430,2053,145.0,399044006.0,Glossopyrosis (disorder),180.0,3.0,95,399165002,Burning mouth syndrome,72,3
C0007222,1460,17.0,272030005.0,Syncope symptom,21.0,12.0,1295,49601007,Disorder of cardiovascular system,272,2
C0007222,1460,222.0,309585006.0,Syncope and collapse,21.0,12.0,1295,49601007,Disorder of cardiovascular system,272,2
C0007222,9,409.0,427461000.0,Near syncope,571.0,1.0,1295,49601007,Disorder of cardiovascular system,272,2
C0007462,900,411.0,22253000.0,Pain (finding),2.0,136.0,69,408751001,"Complex regional pain syndrome, type II",1518,1
C0007682,1171,293.0,50582007.0,Hemiplegia (disorder),24.0,11.0,196,23853001,Disorder of the central nervous system,115,3
C0007682,595,415.0,95660002.0,Thunderclap headache,295.0,2.0,196,23853001,Disorder of the central nervous system,115,3
C0007682,1461,363.0,404676002.0,Bruns nystagmus,166.0,3.0,196,23853001,Disorder of the central nervous system,115,3
C0007760,901,566.0,85102008.0,Cerebellar ataxia,22.0,11.0,81,223176004,Cerebellar disorder,884,1
C0007760,901,566.0,85102008.0,Cerebellar ataxia,22.0,11.0,305,224186005,Cerebellar deficiency syndrome,884,1
C0007761,1762,566.0,85102008.0,Cerebellar ataxia,22.0,11.0,78,41009006,Progressive cerebellar tremor,101,3
C0007761,1762,566.0,85102008.0,Cerebellar ataxia,22.0,11.0,748,192871008,Early onset cerebellar ataxia with myoclonus,101,3
C0007761,1762,566.0,85102008.0,Cerebellar ataxia,22.0,11.0,1631,73495003,Dyssynergia cerebellaris myoclonica,101,3
C0007761,312,241.0,127324008.0,Myoclonic disorder,7.0,29.0,78,41009006,Progressive cerebellar tremor,101,3
C0007761,312,241.0,127324008.0,Myoclonic disorder,7.0,29.0,748,192871008,Early onset cerebellar ataxia with myoclonus,101,3
