disease,symptom,values
Acquired immune deficiency syndrome AIDS disorder,Hepatomegaly associated with AIDS,1
Acquired immune deficiency syndrome AIDS disorder,Malaise associated with AIDS,1
Acquired immune deficiency syndrome AIDS disorder,Fatigue associated with AIDS,1
Acute disease,Sudden visual loss,1
Acute disease,Acute vomiting,1
Acute disease,Benign paroxysmal positional vertigo nystagmus,1
Acute pharyngitis,Pain in throat,1
Acute pharyngitis,Sore throat symptom,1
Acute pharyngitis,Has a sore throat,1
StokesAdams attack,Syncope symptom,1
StokesAdamsMorgagni syndrome,Syncope symptom,1
StokesAdams syndrome,Syncope symptom,1
StokesAdams attack,Syncope and collapse,1
StokesAdamsMorgagni syndrome,Syncope and collapse,1
StokesAdams syndrome,Syncope and collapse,1
Amblyopia disorder,Visual disturbances NOS or amblyopia or blurred vision,1
Amenorrhea finding,Menstruation absent,1
Prinzmetal angina,Angina,1
Prinzmetal angina,Ischemic chest pain,1
Prinzmetal angina,Pain finding,1
Anorexic,Anorexia symptom finding,1
Anuria finding,Oliguria and anuria,1
Eye strain,Visual discomfort,1
Accommodative asthenopia,Visual discomfort,1
Eye strain,Eyes tire easily,1
Accommodative asthenopia,Eyes tire easily,1
Eye strain,Visual symptoms,1
Accommodative asthenopia,Visual symptoms,1
Azoospermia disorder,Complete spermatogenic arrest,1
Azoospermia finding,Complete spermatogenic arrest,1
Azoospermia disorder,Incomplete spermatogenic arrest,1
Azoospermia finding,Incomplete spermatogenic arrest,1
Nonproliferative diabetic retinopathy disorder,OE  right eye preproliferative diabetic retinopathy,1
Background retinopathy,OE  retinopathy,1
Unspecified background retinopathy,OE  retinopathy,1
Background retinopathy,OE  referable retinopathy,1
Unspecified background retinopathy,OE  referable retinopathy,1
Background retinopathy,OE  nonreferable retinopathy,1
Unspecified background retinopathy,OE  nonreferable retinopathy,1
Disorder of basal ganglia,Hemiballism disorder,1
Binocular vision disorder,Visual alteration,1
Unicameral bone cyst,Mass of musculoskeletal structure,1
Solitary bone cyst,Mass of musculoskeletal structure,1
Bone cyst,Mass of musculoskeletal structure,1
Disorder of brain,Menopausal headache,1
Disorder of breast,"Breast subinvolution, postpartum",1
Disorder of breast,Postpartum subinvolution of breast,1
Disorder of breast,Peau dorange surface of breast,1
Disorder of bronchus,Smokers cough,1
Burning mouth syndrome,Skin sensation disturbance,1
Burning mouth syndrome,Glossodynia disorder,1
Burning mouth syndrome,Glossopyrosis disorder,1
Disorder of cardiovascular system,Syncope symptom,1
Disorder of cardiovascular system,Syncope and collapse,1
Disorder of cardiovascular system,Near syncope,1
"Complex regional pain syndrome, type II",Pain finding,1
Disorder of the central nervous system,Hemiplegia disorder,1
Disorder of the central nervous system,Thunderclap headache,1
Disorder of the central nervous system,Bruns nystagmus,1
Cerebellar disorder,Cerebellar ataxia,1
Cerebellar deficiency syndrome,Cerebellar ataxia,1
Progressive cerebellar tremor,Cerebellar ataxia,1
Early onset cerebellar ataxia with myoclonus,Cerebellar ataxia,1
Dyssynergia cerebellaris myoclonica,Cerebellar ataxia,1
Progressive cerebellar tremor,Myoclonic disorder,1
Early onset cerebellar ataxia with myoclonus,Myoclonic disorder,1
Dyssynergia cerebellaris myoclonica,Myoclonic disorder,1
Cervicobrachial neuralgia,Pain finding,1
Cervicooccipital neuralgia,Pain of head and neck region,1
Chagas disease without mention of organ involvement disorder,Trypanosomal chancre,1
Chorea finding,Involuntary movement,1
Chorea finding,Involuntary movement symptom,1
Chorea finding,Oral choreiform movement,1
Chronic disease disorder,Chronic vomiting,1
Chronic rhinitis,Purulent nasal discharge,1
Chronic rhinitis,Purulent rhinitis,1
Chronic rhinitis,Chronic rhinitis or catarrh unspecified,1
Ciliary neuralgia,Headache finding,1
Chronic cluster headache,Headache finding,1
Cluster headache,Headache finding,1
Ciliary neuralgia,Neuropathic pain,1
Chronic cluster headache,Neuropathic pain,1
Cluster headache,Neuropathic pain,1
Ciliary neuralgia,Pain finding,1
Chronic cluster headache,Pain finding,1
Cluster headache,Pain finding,1
Disorder of colon,Constipation disorder,1
Coma disorder,DComa &or Dstupor,1
Coma disorder,DComa and stupor NOS,1
Coma disorder,DComa and stupor,1
Common cold,Sinus catarrh,1
Genital warts,Perineal lump finding,1
Condyloma acuminatum,Perineal lump finding,1
Genital warts,Penile warts,1
Condyloma acuminatum,Penile warts,1
Genital warts,Mass of urogenital structure,1
